id_oferta,titulo,empresa,fuente,fecha_publicacion,provincia,modalidad,nivel,tipo_contrato,salario_min,salario_max,moneda,habilidades,descripcion
OF-00013,Ingeniero de Datos,BAC Credomatic,Computrabajo,2025-03-24,Chiriquí,Presencial,Senior,Freelance,2200,2700,USD,"PostgreSQL, Power BI, Python","Buscamos Ingeniero de Datos nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00014,Desarrollador Full Stack,Banco General,Konzerta,2025-06-02,Panamá,Remoto,Semi Senior,Permanente,,3400,USD,"Docker, Git, JavaScript, Node.js, Python, SQL","Buscamos Desarrollador Full Stack nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Docker, Git, JavaScript, Node.js. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00015,Analista de BI,MultiBank,Konzerta,2025-05-18,Panamá,Híbrido,Lead,Permanente,,4800,USD,"Power BI, Python, SQL","Buscamos Analista de BI nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00016,Ingeniero de IA/ML,Nearshore Devs,Konzerta,2025-02-10,Panamá,Presencial,Semi Senior,Permanente,2650,,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00017,Científico de Datos,,LinkedIn,2025-01-13,Panamá,Presencial,Junior,Permanente,1400,2050,USD,"Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Machine Learning, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00018,Desarrollador Backend,Caja de Ahorros,Konzerta,2025-05-03,Panamá,Presencial,Lead,Freelance,4000,5450,USD,"C#, Git, SQL","Buscamos Desarrollador Backend nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en C#, Git, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00019,Desarrollador Frontend,Cable & Wireless,Computrabajo,2025-01-08,Panamá,Presencial,Junior,Freelance,1150,1550,USD,"Git, React, TypeScript","Buscamos Desarrollador Frontend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Git, React, TypeScript. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00020,Analista de BI,TechMakers,LinkedIn,2025-04-16,Panamá,Presencial,Junior,Permanente,1150,1700,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00021,Analista de BI,MultiBank,LinkedIn,2025-02-10,Panamá Oeste,Presencial,Senior,Permanente,2500,3850,USD,"Kubernetes, PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Kubernetes, PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00022,Desarrollador Frontend,Panama Digital,encuentra24,2025-04-05,Chiriquí,Presencial,Senior,Freelance,,3400,USD,"Angular, Git, JavaScript, React, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, React. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00023,Analista de BI,Innovatec,Computrabajo,2025-01-23,Coclé,Presencial,Junior,Permanente,1250,1650,USD,"PostgreSQL, Power BI, Python, SQL, Spark","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00024,Desarrollador Frontend,Telered,LinkedIn,2025-05-03,Herrera,Presencial,Senior,Permanente,1850,2400,USD,"Angular, Git, JavaScript, React","Buscamos Desarrollador Frontend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, React. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00025,Científico de Datos,Avianca Tech,LinkedIn,2025-05-02,Panamá Oeste,Presencial,Semi Senior,Permanente,2200,3050,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00026,Desarrollador Full Stack,Banistmo,Computrabajo,2025-05-05,Panamá Oeste,Presencial,Senior,Permanente,,3700,USD,"Docker, Git, React, SQL, TypeScript","Buscamos Desarrollador Full Stack nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Docker, Git, React, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00027,Ingeniero Cloud,MultiBank,Konzerta,2025-04-18,Panamá Oeste,Presencial,Semi Senior,Permanente,2100,,USD,"AWS, Azure, Docker","Buscamos Ingeniero Cloud nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00028,Administrador de BD,Caja de Ahorros,encuentra24,2025-04-23,Panamá Oeste,Remoto,Senior,Temporal,3000,4150,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00029,Científico de Datos,Soluciones IT SA,encuentra24,2025-05-11,Panamá,Híbrido,Semi Senior,Permanente,2700,3500,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00030,Ingeniero Cloud,Procesos y Sistemas,LinkedIn,2025-04-03,Los Santos,Híbrido,Semi Senior,Por Proyecto,2000,2800,USD,"Docker, Kubernetes, Python","Buscamos Ingeniero Cloud nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Docker, Kubernetes, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00031,Ingeniero de Datos,Procesos y Sistemas,encuentra24,2025-02-01,Panamá,Presencial,Semi Senior,Permanente,2200,2700,USD,"AWS, PostgreSQL, Power BI, Python, SQL, Spark","Buscamos Ingeniero de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00032,Ingeniero Cloud,Banco General,Computrabajo,2025-05-09,Panamá,Híbrido,Junior,Permanente,2300,,USD,"AWS, Azure, Docker, GCP, Kubernetes, Python","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00033,Desarrollador Frontend,Cable & Wireless,Konzerta,2025-05-27,Panamá,Presencial,Semi Senior,Permanente,1500,2300,USD,"Angular, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Angular, TypeScript, Vue. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00034,Ingeniero de IA/ML,Nearshore Devs,encuentra24,2025-04-14,Panamá Oeste,Presencial,Junior,Permanente,1850,2600,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00035,Ingeniero DevOps,DataPro Panamá,encuentra24,2025-02-02,Panamá,Híbrido,Junior,Por Proyecto,1900,2400,USD,"AWS, Azure, Docker, GCP, Git, Kubernetes","Buscamos Ingeniero DevOps nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00036,Ingeniero de IA/ML,BAC Credomatic,Konzerta,2025-03-16,Chiriquí,Remoto,Junior,Permanente,1350,1800,USD,"AWS, LLM/IA Generativa, Python","Buscamos Ingeniero de IA/ML nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00037,Científico de Datos,BAC Credomatic,encuentra24,2025-05-29,Colón,Remoto,Semi Senior,Por Proyecto,2250,3200,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00038,Desarrollador Backend,Telered,Konzerta,2025-04-11,Panamá,Presencial,Junior,Permanente,1500,1850,USD,".NET, C#, Git, Node.js, SQL","Buscamos Desarrollador Backend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en .NET, C#, Git, Node.js. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00039,Desarrollador Backend,Cable & Wireless,Konzerta,2025-03-21,Panamá Oeste,Remoto,Senior,Permanente,3400,4850,USD,"C#, Git, Node.js, Spring","Buscamos Desarrollador Backend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en C#, Git, Node.js, Spring. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00040,Científico de Datos,Copa Airlines,encuentra24,2024-12-13,Panamá,Híbrido,Junior,Permanente,1250,1800,USD,"LLM/IA Generativa, Power BI, SQL","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Power BI, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00041,Desarrollador Full Stack,Banistmo,Konzerta,2025-06-06,Chiriquí,Presencial,Lead,Por Proyecto,3300,4100,USD,"Docker, Node.js, TypeScript","Buscamos Desarrollador Full Stack nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en Docker, Node.js, TypeScript. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00042,Ingeniero de IA/ML,TechMakers,Konzerta,2025-03-20,Colón,Híbrido,Semi Senior,Permanente,2650,3750,USD,"AWS, Go, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Go, LLM/IA Generativa, Machine Learning. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00043,Analista de BI,Caja de Ahorros,LinkedIn,2025-06-11,Panamá,Presencial,Junior,Temporal,1300,1650,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00044,Ingeniero de Datos,Avianca Tech,LinkedIn,2025-01-05,Panamá Oeste,Híbrido,Semi Senior,Freelance,2300,2900,USD,"AWS, PostgreSQL, Power BI, Python, SQL","Buscamos Ingeniero de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00045,Analista de BI,Banco General,Konzerta,2025-05-07,Panamá Oeste,Presencial,Semi Senior,Permanente,2050,2500,USD,"PostgreSQL, Power BI, Python, SQL, TypeScript","Buscamos Analista de BI nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00046,Administrador de BD,BAC Credomatic,Computrabajo,2025-05-20,Panamá Oeste,Presencial,Lead,Por Proyecto,3400,4550,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00047,Analista de BI,Panama Digital,encuentra24,2025-01-07,Panamá,Presencial,Junior,Permanente,1100,1700,USD,"PostgreSQL, Power BI, Python","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00048,Desarrollador Frontend,Cable & Wireless,Konzerta,2025-02-12,Herrera,Híbrido,Junior,Por Proyecto,,2400,USD,"Angular, Git, JavaScript, React, Spark, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, React. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00049,Administrador de BD,Banistmo,LinkedIn,2025-05-11,Colón,Presencial,Lead,Permanente,3000,4400,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00050,Analista de BI,TechMakers,Konzerta,2024-12-26,Colón,Presencial,Junior,Permanente,1150,1700,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00051,Ingeniero Cloud,,Konzerta,2025-05-23,Colón,Híbrido,Junior,Por Proyecto,1950,2850,USD,"AWS, Azure, Docker, GCP, Kubernetes, Python","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00052,Desarrollador Full Stack,Banistmo,LinkedIn,2025-04-15,Panamá,Remoto,Junior,Permanente,2000,2650,USD,"Docker, Git, Node.js, Python, React, TypeScript","Buscamos Desarrollador Full Stack nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Docker, Git, Node.js, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00053,Ingeniero de Datos,Dell Panamá,encuentra24,2025-06-19,Panamá,Presencial,Senior,Temporal,2600,3650,USD,"AWS, SQL, Spark, TypeScript","Buscamos Ingeniero de Datos nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, SQL, Spark, TypeScript. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00054,Desarrollador Full Stack,Avianca Tech,LinkedIn,2025-01-03,Coclé,Presencial,Junior,Permanente,900,,USD,"Git, Python, SQL, TypeScript","Buscamos Desarrollador Full Stack nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Git, Python, SQL, TypeScript. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00055,Administrador de BD,Telered,Konzerta,2025-02-16,Panamá,Remoto,Lead,Freelance,4000,5150,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00056,Ingeniero Cloud,TechMakers,LinkedIn,2025-05-15,Panamá Oeste,Híbrido,Junior,Temporal,1550,2200,USD,"Docker, GCP, Kubernetes","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Docker, GCP, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00057,Desarrollador Full Stack,DataPro Panamá,encuentra24,2025-05-29,Panamá Oeste,Remoto,Semi Senior,Permanente,2750,3600,USD,"GCP, Git, JavaScript, Python, React, TypeScript","Buscamos Desarrollador Full Stack nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en GCP, Git, JavaScript, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00058,Científico de Datos,DataPro Panamá,LinkedIn,2025-05-03,Chiriquí,Presencial,Senior,Permanente,3150,3850,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL, Vue","Buscamos Científico de Datos nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00059,Analista de BI,Soluciones IT SA,Konzerta,2025-06-08,Colón,Presencial,Junior,Permanente,1300,1700,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00060,Administrador de BD,DataPro Panamá,LinkedIn,2025-04-30,Panamá,Presencial,Lead,Permanente,3350,5150,USD,"Oracle, PostgreSQL, Python, SQL, Vue","Buscamos Administrador de BD nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en Oracle, PostgreSQL, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00061,Ingeniero Cloud,DataPro Panamá,LinkedIn,2025-06-16,Panamá Oeste,Remoto,Senior,Permanente,,5650,USD,"AWS, Azure, Docker, GCP, Kubernetes","Buscamos Ingeniero Cloud nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00062,Científico de Datos,Banistmo,encuentra24,2025-03-25,Chiriquí,Presencial,Junior,Permanente,1500,1850,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00063,Ingeniero de Datos,,LinkedIn,2025-03-04,Coclé,Presencial,Junior,Permanente,,1700,USD,"PostgreSQL, SQL, Spark","Buscamos Ingeniero de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, SQL, Spark. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00064,Ingeniero DevOps,Banco General,Computrabajo,2025-03-29,Panamá,Presencial,Junior,Temporal,1700,2450,USD,"AWS, Azure, Docker, GCP, Git, Kubernetes","Buscamos Ingeniero DevOps nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00065,Científico de Datos,Dell Panamá,Konzerta,2025-01-15,Panamá,Remoto,Semi Senior,Temporal,2350,3500,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00066,Analista de BI,DataPro Panamá,Konzerta,2025-05-14,Panamá Oeste,Presencial,Senior,Permanente,2900,3550,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00067,Ingeniero de Datos,Banistmo,Konzerta,2024-11-12,Panamá,Remoto,Semi Senior,Permanente,2150,3100,USD,"AWS, Power BI, Spark","Buscamos Ingeniero de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Power BI, Spark. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00068,Ingeniero DevOps,Panama Digital,encuentra24,2025-06-23,Panamá Oeste,Híbrido,Senior,Permanente,3250,4250,USD,"AWS, Azure, Docker, Git, Kubernetes","Buscamos Ingeniero DevOps nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, Git. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00069,Administrador de BD,,Computrabajo,2025-04-21,Chiriquí,Presencial,Junior,Por Proyecto,1250,1550,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00070,Científico de Datos,Avianca Tech,encuentra24,2025-06-07,Colón,Presencial,Junior,Temporal,1600,2350,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL, TypeScript","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00071,Ingeniero de IA/ML,Innovatec,encuentra24,2025-05-16,Panamá,Remoto,Semi Senior,Permanente,2300,3550,USD,"LLM/IA Generativa, Machine Learning, Python","Buscamos Ingeniero de IA/ML nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00072,Ingeniero de IA/ML,,LinkedIn,2025-05-22,Panamá,Híbrido,Semi Senior,Permanente,2350,3600,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00073,Ingeniero Cloud,Procesos y Sistemas,encuentra24,2025-05-06,Panamá,Presencial,Semi Senior,Freelance,2700,3350,USD,"AWS, Azure, Docker, Kubernetes, Python","Buscamos Ingeniero Cloud nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00074,Desarrollador Full Stack,Soluciones IT SA,LinkedIn,2025-06-27,Chiriquí,Híbrido,Senior,Permanente,2350,3600,USD,"Docker, Git, JavaScript, Node.js, TypeScript","Buscamos Desarrollador Full Stack nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Docker, Git, JavaScript, Node.js. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00075,Desarrollador Backend,Globant,LinkedIn,2025-03-10,Colón,Presencial,Semi Senior,Permanente,1600,2500,USD,"C#, Git, Java, Python, SQL","Buscamos Desarrollador Backend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en C#, Git, Java, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00076,Ingeniero de IA/ML,Innovatec,encuentra24,2025-02-01,Herrera,Presencial,Senior,Permanente,2500,,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00077,Ingeniero DevOps,Avianca Tech,encuentra24,2025-06-22,Chiriquí,Presencial,Senior,Permanente,2550,3200,USD,"Azure, GCP, Git","Buscamos Ingeniero DevOps nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Azure, GCP, Git. Ofrecemos crecimiento profesional y ambiente colaborativo."
